tanggal,amount,kategori
2024-01-19,abc,transport
2024-01-28,,makan
2024-01-22,,belanja
2024-01-19,50000,makan
2024-01-27,,makan
2024-01-24,50000,makan
2024-01-20,100000,belanja
2024-01-6,50000,lainnya
2024-01-18,,makan
2024-01-5,100000,belanja
2024-01-11,abc,transport
2024-01-26,50000,belanja
2024-01-24,50000,makan
2024-01-28,,belanja
2024-01-28,50000,belanja
2024-01-17,abc,makan
2024-01-18,,belanja
2024-01-9,50000,lainnya
2024-01-20,50000,belanja
2024-01-25,abc,lainnya
2024-01-18,,belanja
2024-01-9,abc,lainnya
2024-01-25,,makan
2024-01-11,100000,makan
2024-01-20,,makan
2024-01-17,50000,transport
2024-01-19,,lainnya
2024-01-21,100000,transport
2024-01-20,,makan
2024-01-22,abc,lainnya
2024-01-10,abc,makan
2024-01-24,abc,makan
2024-01-9,,transport
2024-01-14,50000,makan
2024-01-6,100000,makan
2024-01-26,50000,lainnya
2024-01-4,abc,transport
2024-01-7,,belanja
2024-01-26,50000,lainnya
2024-01-17,,transport
2024-01-8,100000,makan
2024-01-5,,belanja
2024-01-20,100000,makan
2024-01-1,abc,transport
2024-01-26,50000,lainnya
2024-01-9,,makan
2024-01-26,50000,lainnya
2024-01-1,50000,makan
2024-01-26,,transport
2024-01-26,abc,belanja
2024-01-1,,transport
2024-01-18,,transport
2024-01-5,,makan
2024-01-27,,belanja
2024-01-13,50000,makan
2024-01-9,100000,makan
2024-01-4,abc,transport
2024-01-6,,lainnya
2024-01-4,50000,lainnya
2024-01-25,50000,makan
2024-01-9,,belanja
2024-01-12,,lainnya
2024-01-20,50000,belanja
2024-01-28,,belanja
2024-01-12,abc,lainnya
2024-01-15,abc,transport
2024-01-25,100000,belanja
2024-01-19,100000,lainnya
2024-01-15,,belanja
2024-01-12,100000,lainnya
2024-01-19,,lainnya
2024-01-18,100000,transport
2024-01-5,50000,makan
2024-01-22,50000,lainnya
2024-01-6,100000,transport
2024-01-6,abc,lainnya
2024-01-13,100000,lainnya
2024-01-6,abc,belanja
2024-01-3,100000,belanja
2024-01-4,,transport
2024-01-27,,belanja
2024-01-11,100000,makan
2024-01-8,,belanja
2024-01-27,50000,transport
2024-01-5,,makan
2024-01-21,abc,makan
2024-01-6,,makan
2024-01-14,,lainnya
2024-01-25,abc,makan
2024-01-23,,makan
2024-01-17,100000,makan
2024-01-17,50000,transport
2024-01-12,abc,belanja
2024-01-3,,belanja
2024-01-26,100000,transport
2024-01-20,abc,transport
2024-01-2,,makan
2024-01-9,50000,makan
2024-01-7,,transport
2024-01-19,100000,makan
2024-01-11,50000,belanja
2024-01-27,abc,lainnya
2024-01-6,abc,makan
2024-01-2,100000,lainnya
2024-01-19,abc,makan
2024-01-22,100000,belanja
2024-01-23,100000,belanja
2024-01-19,,lainnya
2024-01-4,50000,makan
2024-01-20,100000,belanja
2024-01-24,abc,lainnya
2024-01-19,50000,lainnya
2024-01-19,50000,lainnya
2024-01-26,,lainnya
2024-01-9,50000,transport
2024-01-12,100000,transport
2024-01-4,,makan
2024-01-16,,makan
2024-01-20,,makan
2024-01-8,50000,belanja
